"time","counterfact.bat.EneSoC"
0,360000
6.631489097021999e-11,360000
6.631489097021999e-11,360000
14.4,359833.8375809541
28.8,359335.439427254
33.16688143767385,359118.7083972737
33.16688143767385,359118.7083972737
39.80533309570171,358697.9712350109
39.80533309570171,358697.9712350109
43.2,358456.1149089819
57.6,357229.278229691
72,355677.419330876
86.40000000000001,353800.7835330592
100.8,351599.7231475986
115.2,349074.6975939586
129.6,346226.2734812052
144,343055.1246526524
158.4,339562.0321935868
172.8,335747.8844067614
187.2,331613.6767459832
201.6,327160.5117096198
216,322389.5987064698
230.4,317302.2538837569
244.8,311899.8999152704
259.2,306184.0657467249
273.6,300156.3863033876
288,293818.6021614217
302.4,287172.5591807164
316.8,280220.2081002623
331.2,272963.6040933978
345.6,265404.906284995
360,257546.3772259531
374.4,249390.3823250912
388.8,240939.3892215137
403.2,232195.9671982517
417.6,223162.7865277629
432,213842.6177439313
446.4,204238.3307807271
460.8,194352.8942713738
475.2,184189.3745628526
489.6,173750.9349338705
504,163040.8346980087
518.4,152062.4281670885
532.8,140819.1639073006
547.2,129314.5833255962
561.6,117552.3200844904
573.0717407968594,107999.9999171951
573.0717407968594,107999.9999171951
574.6206897325641,107999.9999171951
574.6206897325641,107999.9999171951
576,107999.9999171951
590.4,107999.9999171951
604.8,107999.9999171951
619.2,107999.9999171951
633.6,107999.9999171951
648,107999.9999171951
662.4,107999.9999171951
676.8,107999.9999171951
691.2,107999.9999171951
705.6,107999.9999171951
720,107999.9999171951
734.4,107999.9999171951
748.8,107999.9999171951
763.2,107999.9999171951
777.6,107999.9999171951
783.92625342675,107999.9999171951
783.92625342675,107999.9999171951
792,107999.9999171951
806.4,107999.9999171951
820.8,107999.9999171951
835.2,107999.9999171951
849.6,107999.9999171951
864,107999.9999171951
878.4,107999.9999171951
892.8,107999.9999171951
907.2,107999.9999171951
921.6,107999.9999171951
936,107999.9999171951
950.4,107999.9999171951
964.8,107999.9999171951
979.2,107999.9999171951
993.6,107999.9999171951
1008,107999.9999171951
1022.4,107999.9999171951
1036.8,107999.9999171951
1051.2,107999.9999171951
1065.6,107999.9999171951
1080,107999.9999171951
1094.4,107999.9999171951
1108.8,107999.9999171951
1123.2,107999.9999171951
1137.6,107999.9999171951
1152,107999.9999171951
1166.4,107999.9999171951
1180.8,107999.9999171951
1195.2,107999.9999171951
1209.6,107999.9999171951
1224,107999.9999171951
1238.4,107999.9999171951
1250.000000238736,107999.9999171951
1250.000000238736,107999.9999171951
1252.8,107999.9999171951
1267.2,107999.9999171951
1281.6,107999.9999171951
1296,107999.9999171951
1310.4,107999.9999171951
1324.8,107999.9999171951
1339.2,107999.9999171951
1353.6,107999.9999171951
1368,107999.9999171951
1382.4,107999.9999171951
1396.8,107999.9999171951
1411.2,107999.9999171951
1425.6,107999.9999171951
1440,107999.9999171951
1454.4,107999.9999171951
1468.8,107999.9999171951
1483.2,107999.9999171951
1487.026157277925,107999.9999171951
1487.026157277925,107999.9999171951
1497.6,107999.9999171951
1512,107999.9999171951
1526.4,107999.9999171951
1540.8,107999.9999171951
1555.2,107999.9999171951
1569.6,107999.9999171951
1584,107999.9999171951
1598.4,107999.9999171951
1612.8,107999.9999171951
1627.2,107999.9999171951
1641.6,107999.9999171951
1656,107999.9999171951
1670.4,107999.9999171951
1684.8,107999.9999171951
1699.2,107999.9999171951
1713.6,107999.9999171951
1716.073746813452,107999.9999171951
1716.073746813452,107999.9999171951
1728,107999.9999171951
1742.4,107999.9999171951
1756.8,107999.9999171951
1771.2,107999.9999171951
1785.6,107999.9999171951
1800,107999.9999171951
1814.4,107999.9999171951
1828.8,107999.9999171951
1843.2,107999.9999171951
1857.6,107999.9999171951
1872,107999.9999171951
1886.4,107999.9999171951
1900.8,107999.9999171951
1915.2,107999.9999171951
1929.6,107999.9999171951
1944,107999.9999171951
1958.4,107999.9999171951
1972.8,107999.9999171951
1987.2,107999.9999171951
2001.6,107999.9999171951
2016,107999.9999171951
2030.4,107999.9999171951
2044.8,107999.9999171951
2059.2,107999.9999171951
2073.6,107999.9999171951
2088,107999.9999171951
2102.4,107999.9999171951
2116.8,107999.9999171951
2131.2,107999.9999171951
2145.6,107999.9999171951
2160,107999.9999171951
2174.4,107999.9999171951
2188.8,107999.9999171951
2203.2,107999.9999171951
2217.6,107999.9999171951
2232,107999.9999171951
2246.4,107999.9999171951
2260.8,107999.9999171951
2275.2,107999.9999171951
2289.6,107999.9999171951
2304,107999.9999171951
2318.4,107999.9999171951
2332.8,107999.9999171951
2347.2,107999.9999171951
2361.6,107999.9999171951
2376,107999.9999171951
2390.4,107999.9999171951
2404.8,107999.9999171951
2419.2,107999.9999171951
2433.6,107999.9999171951
2448,107999.9999171951
2462.4,107999.9999171951
2466.833118569113,107999.9999171951
2466.833118569113,107999.9999171951
2473.469261506758,107999.9999171951
2473.469261506758,107999.9999171951
2476.8,107999.9999171951
2491.2,107999.9999171951
2500.000000000092,107999.9999171951
